,(table of contents),V_3.7 - Per capita food supply variability,,,,,,,,,,,,,,,,,,,,,
,(home),(kcal/caput/day),,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
48,Costa Rica,16,22,13,18,18,18,15,26,31,29,35,34,30,23,35,34,28,41,44,36,25,24
60,El Salvador,42,24,53,48,42,41,49,40,21,13,26,40,71,83,75,43,48,42,19,5,7,16
89,Guatemala,83,55,56,56,60,32,37,49,93,98,72,50,24,78,87,74,52,26,31,38,32,35
95,Honduras,23,27,27,23,24,20,15,13,13,12,23,38,32,32,32,32,12,13,20,29,25,26
138,Mexico,41,34,32,16,20,17,20,21,28,26,16,22,37,44,39,19,26,29,25,20,21,25
157,Nicaragua,86,126,138,141,118,76,64,58,37,30,31,26,59,49,50,46,45,29,21,25,30,22
166,Panama,119,109,39,74,90,80,73,50,71,84,82,105,104,104,72,81,61,65,59,57,42,39
5207,South America,15,27,27,24,23,28,11,8,10,17,16,13,9,22,25,26,25,25,6,17,17,17
9,Argentina,81,86,81,58,72,85,53,28,18,15,48,57,54,117,140,129,94,55,54,48,20,17
19,Bolivia (Plurinational State of),52,34,38,42,36,39,51,51,52,69,63,47,47,47,14,36,37,36,33,29,23,25
21,Brazil,27,14,21,20,18,18,17,11,12,20,20,24,24,15,50,59,56,44,29,23,18,21
40,Chile,54,39,26,49,47,36,29,14,11,17,20,17,13,17,17,11,12,14,13,13,27,27
44,Colombia,38,40,48,23,29,36,48,31,21,28,29,21,26,25,16,17,32,24,29,32,43,59
58,Ecuador,37,39,68,65,52,84,82,45,43,53,31,38,41,29,31,21,27,24,23,19,19,28
69,French Guiana,,,,,,,,,,,,,,,,,,,,,,
91,Guyana,50,78,83,48,33,48,60,49,50,35,27,29,20,21,30,46,48,40,29,36,33,25
169,Paraguay,28,45,65,71,65,59,68,63,43,17,23,27,25,27,40,42,55,61,70,50,37,36
170,Peru,82,101,95,85,58,62,22,36,45,38,39,39,41,32,55,68,48,45,42,41,16,22
207,Suriname,47,25,41,41,46,42,19,26,23,23,44,45,41,36,21,21,21,19,27,26,30,49
234,Uruguay,81,74,79,96,105,95,53,52,51,48,36,33,33,29,41,48,29,20,25,24,19,33
236,Venezuela (Bolivarian Republic of),183,184,159,168,116,71,53,55,61,60,63,51,64,121,121,122,111,82,52,103,120,101
5500,Oceania,20,14,14,14,15,18,11,10,7,7,14,20,14,14,16,17,16,22,20,20,17,13
5,American Samoa,,,,,,,,,,,,,,,,,,,,,,
47,Cook Islands,,,,,,,,,,,,,,,,,,,,,,
66,Fiji,71,37,47,40,59,39,56,56,56,31,26,21,20,20,20,19,13,16,16,16,21,21
70,French Polynesia,20,19,11,23,24,25,21,6,24,38,48,41,27,32,34,28,14,12,19,15,15,30
88,Guam,,,,,,,,,,,,,,,,,,,,,,
83,Kiribati,73,41,51,59,68,52,49,49,51,46,32,27,26,24,25,34,36,30,30,31,25,15
127,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,
145,Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,,
148,Nauru,,,,,,,,,,,,,,,,,,,,,,
153,New Caledonia,72,65,81,70,60,60,73,28,42,44,46,36,19,19,16,23,29,22,14,7,10,16
160,Niue,,,,,,,,,,,,,,,,,,,,,,
163,Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,
180,Palau,,,,,,,,,,,,,,,,,,,,,,
168,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,
244,Samoa,93,84,27,69,107,106,86,46,53,44,51,57,54,37,27,28,30,36,50,47,38,27
25,Solomon Islands,17,51,49,42,33,51,79,76,78,41,58,53,67,47,26,26,25,12,19,21,21,22
218,Tokelau,,,,,,,,,,,,,,,,,,,,,,
219,Tonga,,,,,,,,,,,,,,,,,,,,,,
227,Tuvalu,,,,,,,,,,,,,,,,,,,,,,
155,Vanuatu,46,39,38,35,36,22,19,33,49,56,46,27,49,55,40,24,15,15,23,26,19,18
243,Wallis and Futuna Islands,,,,,,,,,,,,,,,,,,,,,,
5851,Developed countries,107,103,107,199,233,234,199,88,71,48,27,15,11,8,8,9,12,10,10,9,18,16
3,Albania,85,90,32,35,79,117,104,81,82,90,55,62,30,42,46,47,45,45,29,24,16,24
6,Andorra,,,,,,,,,,,,,,,,,,,,,,
10,Australia,31,49,35,27,40,46,33,31,28,36,45,45,43,32,39,35,20,26,36,38,23,19
11,Austria,20,21,22,22,35,38,37,25,28,42,62,70,72,36,60,74,63,34,33,33,20,10
57,Belarus,711,640,581,1013,1230,1251,1067,237,199,160,202,247,216,168,151,110,99,104,154,143,99,55
255,Belgium,3,2,2,1,0,1,1,2,2,2,2,2,10,10,15,17,22,16,14,15,15,9
17,Bermuda,70,83,72,113,135,133,115,59,56,51,62,56,47,43,43,62,51,55,67,83,74,53
80,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,
27,Bulgaria,214,174,194,202,168,29,40,41,55,73,105,112,100,32,32,21,34,24,26,41,41,41
