country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54E+12,1.68E+12,1.75E+12,1.77E+12,1.85E+12,1.92E+12,1.98E+12,2.02E+12,2.08E+12,2.16E+12,2.24E+12,2.35E+12,2.42E+12,2.48E+12,2.59E+12,2.64E+12,2.82E+12,3.00E+12,3.12E+12,3.04E+12,3.21E+12,3.43E+12,3.50E+12,3.65E+12,3.81E+12,3.92E+12,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1183577869,1170659299,1197129943,1144466427,1157866325,1140783879,1113803473,1124416526,1137748882,1180331112,1212214273,1265228425,1318290651,1387604062,1480315643,1576376667,1702795706,1837267655,1981958873,2097512651,2197162422,2342710799,2501397365,2668882508,2879670063,3099860267,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308493758.5,320699866.4,334725925.4,348450356.3,360959440.6,375764488.1,392732372.6,405409133.2,430209503.2,439777677.9,451472998.1,463946228.5,462809797.5,508325089.3,539278200,556139037.9,590018816.4,644008873.6,703399601.4,700450908.6,713774229.1,726828064.9,732297845.8,749859034.1,795242573.4,789634652.1,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93535560467,97920914629,1.02E+11,1.05E+11,1.13E+11,1.19E+11,1.25E+11,1.32E+11,1.37E+11,1.42E+11,1.53E+11,1.58E+11,1.65E+11,1.66E+11,1.78E+11,1.85E+11,2.03E+11,2.13E+11,2.26E+11,2.22E+11,2.37E+11,2.46E+11,2.49E+11,2.59E+11,2.65E+11,2.73E+11,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24455305078,25507880423,28832165828,31650143261,33068198060,35612427286,38848566911,42676227450,46163701818,50017651924,54049495741,56281394497,60453077324,61502328341,64022542812,72203618703,82363583248,91920694287,96731892071,98388692087,1.08E+11,1.14E+11,1.19E+11,1.26E+11,1.39E+11,1.50E+11,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71E+11,1.75E+11,1.82E+11,1.83E+11,1.85E+11,1.96E+11,2.08E+11,2.14E+11,2.27E+11,2.38E+11,2.52E+11,2.66E+11,2.85E+11,3.12E+11,3.34E+11,3.65E+11,3.83E+11,4.06E+11,4.24E+11,4.34E+11,4.55E+11,4.78E+11,5.04E+11,5.26E+11,5.56E+11,5.84E+11,
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29E+12,2.55E+12,2.89E+12,3.27E+12,3.69E+12,4.12E+12,4.57E+12,4.96E+12,5.06E+12,5.43E+12,5.97E+12,6.50E+12,7.11E+12,7.86E+12,8.79E+12,9.92E+12,1.13E+13,1.30E+13,1.43E+13,1.55E+13,1.72E+13,1.90E+13,2.08E+13,2.26E+13,2.45E+13,2.64E+13,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.30E+12,5.73E+12,6.14E+12,6.65E+12,7.02E+12,7.40E+12,7.96E+12,8.47E+12,8.71E+12,9.11E+12,9.74E+12,1.02E+13,1.06E+13,1.13E+13,1.24E+13,1.37E+13,1.51E+13,1.66E+13,1.77E+13,1.84E+13,1.99E+13,2.14E+13,2.26E+13,2.40E+13,2.55E+13,2.70E+13,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.77E+12,6.31E+12,6.81E+12,7.37E+12,8.03E+12,8.74E+12,9.47E+12,1.01E+13,1.02E+13,1.08E+13,1.17E+13,1.24E+13,1.33E+13,1.43E+13,1.56E+13,1.71E+13,1.89E+13,2.11E+13,2.26E+13,2.36E+13,2.59E+13,2.80E+13,3.01E+13,3.24E+13,3.46E+13,3.67E+13,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48E+12,2.41E+12,2.22E+12,2.13E+12,1.93E+12,1.93E+12,1.96E+12,2.05E+12,2.05E+12,2.12E+12,2.37E+12,2.51E+12,2.69E+12,2.97E+12,3.33E+12,3.74E+12,4.48E+12,4.99E+12,5.75E+12,5.58E+12,6.00E+12,6.79E+12,7.11E+12,7.14E+12,7.47E+12,7.48E+12,
