"","year","country","Q.exp","Q.imp","V.exp","V.imp","Q.balance","V.balance","UV.balance"
"199",2000,"Turkmenistan",0,0,0,0,NA,NA,NA
"200",2000,"Turks and Caicos Is.",0,0,1802,2001,NA,0.900549725137431,NA
"201",2000,"Tuvalu",0,0,0,0,NA,NA,NA
"202",2000,"Uganda",14514,87,28889,98,166.827586206897,294.785714285714,1.76700820882301
"203",2000,"Ukraine",83711,234517,0,0,0.35695066882145,NA,NA
"204",2000,"Un. Sov. Soc. Rep.",0,0,0,0,NA,NA,NA
"205",2000,"United Arab Emirates",0,0,22055,83194,NA,0.265103252638411,NA
"206",2000,"United Kingdom",644599,558505,1238426,2051269,1.15415081333202,0.603736516273585,0.523100195658663
"207",2000,"United States of America",969463,1737175,2966661,10477563,0.558068703498496,0.283144181523891,0.507364379598566
"208",2000,"Uruguay",76410,7481,108952,12315,10.213875150381,8.84709703613479,0.866184176512556
"209",2000,"Uzbekistan",0,0,0,0,NA,NA,NA
"210",2000,"Vanuatu",22,1005,270,1487,0.0218905472636816,0.181573638197714,8.29461392675919
"211",2000,"Venezuela, Boliv Rep of",43130,28816,152959,39744,1.4967379233759,3.84860607890499,2.57132930140798
"212",2000,"Viet Nam",291923,0,1478610,28219,Inf,52.3976753251355,0
"213",2000,"Yemen",26673,3665,6377,4909,7.27776261937244,1.2990425748625,0.178494771374463
"214",2000,"Yugoslavia SFR",0,0,0,0,NA,NA,NA
"215",2000,"Zambia",710,1374,420,1247,0.516739446870451,0.336808340016038,0.651795294622587
"216",2000,"Zimbabwe",817,7601,4305,7801,0.107485857124063,0.551852326624792,5.13418547695844
"217",2001,"Albania",2007,5445,6889,5238,0.368595041322314,1.31519663993891,3.56813438189704
"218",2001,"Algeria",1498,7902,4876,13949,0.189572260187294,0.349559108179798,1.84393596317541
"219",2001,"Angola",0,0,0,0,NA,NA,NA
"220",2001,"Antigua and Barbuda",0,0,0,0,NA,NA,NA
"221",2001,"Argentina",434116,43871,881497,77939,9.89528390052654,11.3100886590795,1.14297768237632
"222",2001,"Armenia",102,1082,158,1336,0.0942698706099815,0.118263473053892,1.25452037102266
"223",2001,"Aruba",110,1575,358,9640,0.0698412698412698,0.0371369294605809,0.53173330818559
"224",2001,"Australia",68304,148309,885098,497753,0.460551955714083,1.77818717315616,3.86099147141628
"225",2001,"Austria",3174,48507,7956,176850,0.0654338549075391,0.0449872773536896,0.687522956079212
"226",2001,"Azerbaijan",364,2347,798,1314,0.155091606305922,0.607305936073059,3.91578854935019
"227",2001,"Bahamas",2659,4084,72121,13744,0.651077375122429,5.24745343422584,8.05964641796854
"228",2001,"Bahrain",5966,3152,9913,6568,1.89276649746193,1.509287454324,0.797397595713918
"229",2001,"Bangladesh",40789,2561,355748,6074,15.9269816477938,58.5689825485677,3.67734350699654
"230",2001,"Barbados",329,4289,1332,12255,0.0767078573093961,0.108690330477356,1.41693868515921
"231",2001,"Belarus",11068,110204,15463,83597,0.100431926245871,0.184970752538967,1.84175251290245
"232",2001,"Belgium",108792,223120,517201,985502,0.487594119756185,0.524809690898649,1.0763248973574
"233",2001,"Belize",2670,416,14057,281,6.41826923076923,50.0249110320285,7.79414344169432
"234",2001,"Benin",666,10975,2408,4875,0.0606833712984055,0.493948717948718,8.13977053977054
"235",2001,"Bermuda",0,0,0,0,NA,NA,NA
"236",2001,"Bhutan",0,0,0,0,NA,NA,NA
"237",2001,"Bolivia (Plurinat.State)",85,6699,35,5499,0.012688460964323,0.00636479359883615,0.501620615512981
"238",2001,"Bosnia and Herzegovina",0,0,0,0,NA,NA,NA
"239",2001,"Botswana",46,3211,61,4206,0.0143257552164435,0.0145030908226343,1.0123787963365
"240",2001,"Brazil",72328,169698,284005,262947,0.42621598368867,1.08008457978224,2.53412500027494
"241",2001,"Brunei Darussalam",149,7640,334,13189,0.0195026178010471,0.0253241337478202,1.29849920693521
"242",2001,"Bulgaria",3051,18454,6659,12989,0.165330009753983,0.512664562321965,3.10085605804311
"243",2001,"Burkina Faso",15,7593,11,703,0.00197550375345713,0.015647226173542,7.92062588904694
"244",2001,"Burundi",4,79,183,97,0.0506329113924051,1.88659793814433,37.2603092783505
"245",2001,"Cabo Verde",246,223,298,605,1.10313901345291,0.492561983471074,0.446509440301015
"246",2001,"Cambodia",38423,1074,15233,467,35.7756052141527,32.6188436830835,0.911762176707485
"247",2001,"Cameroon",327,97867,365,28610,0.00334126927360602,0.0127577770010486,3.81824269651872
"248",2001,"Canada",525331,366203,2792683,1312828,1.43453494373339,2.1272268720655,1.48286863373949
"249",2001,"Cayman Islands",0,0,0,0,NA,NA,NA
"250",2001,"Central African Republic",0,570,0,241,0,0,NA
"251",2001,"Chad",0,0,0,0,NA,NA,NA
"252",2001,"Chile",767480,12186,1696265,27394,62.9804693911045,61.9210411038914,0.983178463141737
"253",2001,"China",1911364,1344500,4093066,1310188,1.42161695797694,3.12402952858674,2.19751847433815
"254",2001,"China, Hong Kong SAR",56413,340644,72951,1774081,0.165606909265979,0.0411204448951316,0.248301505519246
"255",2001,"China, Macao SAR",280,13412,2371,16411,0.0208768267223382,0.144476265919201,6.92041313752971
"256",2001,"Colombia",79552,60256,174978,57479,1.32023366967605,3.04420744967727,2.30580958477164
"257",2001,"Comoros",0,264,0,434,0,0,NA
"258",2001,"Congo",0,0,0,0,NA,NA,NA
"259",2001,"Congo, Dem. Rep. of the",0,0,0,0,NA,NA,NA
"260",2001,"Cook Islands",6,81,41,590,0.0740740740740741,0.0694915254237288,0.938135593220339
"261",2001,"Costa Rica",44476,22372,133564,22404,1.98802074021098,5.96161399750045,2.99876851227808
"262",2001,"Côte d'Ivoire",51095,233986,107634,147209,0.218367765592813,0.731164534777086,3.34831715107841
