"","country","species","area","year","value","value.kg","relative.value","production","native","fishmeal","intensity","hatchery","habitat","waste","ecol.score","msi"
"10491","Italy","Cupped oysters nei","Mediterranean and Black Sea",2010,1.14,3.6729170693988e-06,2.19255186668962e-06,310380,5,10,10,10,9,10,9,7.6
"10495","Italy","Gilthead seabream","Mediterranean and Black Sea",2010,2797.7,31.4348314606742,0.00538079154161187,89,10,1,3,5,3,1,3.8,4.7
"10526","Japan","Pacific cupped oyster","Pacific, Northwest",2010,119.42,0.00878217384909546,0.00120051543147884,13598,10,10,7,3,5,10,7.5,7.1
"10641","Mexico","Flathead grey mullet","Pacific, Eastern Central",2010,18553.16,0.678385315733665,0.0230792034286546,27349,10,3,5,5,5,5,5.5,5.8
"10668","Morocco","Marine fishes nei","Mediterranean and Black Sea",2010,3.13,0.0117140718562874,6.85997190830545e-06,267.2,5,4,5,5,4,5,4.7,5.3
"10671","Morocco","Yesso scallop","Atlantic, Eastern Central",2010,452151.44,22607572,0.990973219392926,0.02,1,10,7,7,6,9,6.7,6.5
"10686","Namibia","Gracilaria seaweeds","Atlantic, Southeast",2010,331.72,138.216666666667,0.00512943900897234,2.4,10,10,7,4,9,10,8.3,6.7
"10688","Namibia","Pacific cupped oyster","Atlantic, Southeast",2010,63362.87,918.302463768116,0.979790115454128,69,1,10,7,4,7,9,6.3,5.5
"10704","Nigeria","Snappers nei","Atlantic, Eastern Central",2010,570900,821.438848920863,1,695,5,7,3,3,4,3,4.2,4.9
"10706","Norway","Atlantic cod","Atlantic, Northeast",2010,0,0,0,2800,10,1,3,3,3,1,3.5,4.6
"10737","Peru","False abalone","Pacific, Southeast",2010,52.23,0.167942122186495,0.0131101701084105,311,10,10,7,7,7,5,7.7,7.2
"10744","Peru","Whiteleg shrimp","Pacific, Southeast",2010,2838.24,1892.16,0.712422156011777,1.5,10,3,1,5,3,3,4.2,4.5
"10745","Philippines","Banana prawn","Pacific, Western Central",2010,0,0,0,2129.12,10,4,5,1,3,1,4,4.3
"10749","Philippines","Giant tiger prawn","Pacific, Western Central",2010,0,0,0,1407467,10,1,1,1,1,1,2.5,3.5
"10769","Portugal","Common cuttlefish","Atlantic, Northeast",2010,275.99,1.90337931034483,0.000396479331343835,145,10,5,5,6,7,7,6.7,6.5
"10770","Portugal","Common edible cockle","Atlantic, Northeast",2010,1583.3,38.0600961538462,0.00227452344402585,41.6,10,10,7,6,9,6,8,6.9
"10771","Portugal","Common sole","Atlantic, Northeast",2010,140693.77,556.10185770751,0.202116641377743,253,10,5,3,6,4,5,5.5,5.8
"10774","Portugal","Flat and cupped oysters nei","Atlantic, Northeast",2010,584.17,17.272915434654,0.00083920189496405,33.82,10,10,7,6,7,9,8.2,7
"10775","Portugal","Gilthead seabream","Atlantic, Northeast",2010,393435,5245.8,0.565197455441363,75,10,3,3,6,4,3,4.8,5.3
"10778","Portugal","Grooved carpet shell","Atlantic, Northeast",2010,200,10.4166666666667,0.00028731427323007,19.2,10,10,7,7,8,9,8.5,7.3
