"","year","country","Q.exp","Q.imp","V.exp","V.imp","Q.balance","V.balance","UV.balance","energy_adequacy","food_deficit","food_price","food_production","gdp","protein","protein_animal","undernourish","food_price_volatility","food_supply_variability","total_population","number_undernourished","dietary_energy_supply","fat_supply","food_over_acquisition","food_production_variability","native","ex.imp","fishmeal","intensity","nutri","hatchery","antibiotic","habitat","GMO","code","trace","employment","waste"
"2456",2011,"Indonesia",239102,264895,465955,916984,0.902629343702222,0.508138637097267,0.562953820017735,117,94,6.32,226,8870.3,60,17,"13.5",10.9,21,240.7,"32.4",2656,54,23.5,3,10,2.6,4.8,6.6,6.6,3,3.4,2.4,7.5,4.5,2.9,6.8,2.4
"2481",2011,"Madagascar",42903,42300,381593,121888,1.01425531914894,3.13068554738777,3.08668388351636,98,215,7.3,156,1371.6,48,11,"31.6",6.8,23,21.1,"6.7",2073,26,9.3,1.7,10,1,1,3,3,5,1,1,7,3,3,6,1
"2483",2011,"Malaysia",621401,231640,904988,606143,2.68261526506648,1.49302722294904,0.556556596986351,122,25,2.84,466,21866.3,79,43,"<5.0",2.8,32,28.3,"ns",2858,87,25.8,13.7,10,4.3,8.3,5.9,5.9,2.9,8.3,4.3,9.3,4.6,4.6,5.1,6
"2492",2011,"Mexico",256179,120109,319745,262234,2.13288762707208,1.21931175972605,0.571671823798733,129,29,3.56,277,15729.6,86,41,"<5.0",6.1,25,117.9,"ns",3037,91,37.4,3.8,9.5,5,3.4,3.4,3.4,4.9,3.4,3.2,5.1,5,5.1,3.2,5.3
"2497",2011,"Morocco",94415,137556,122470,245933,0.686375003634883,0.497981157469717,0.725523445394317,140,39,5.69,272,6746.9,94,23,"5.3",9.5,21,31.7,"1.7",3300,65,45.2,19.9,8.3,3,4.3,4.6,8.1,5,5.2,4.5,5.7,5,6,7.8,5.9
"2500",2011,"Namibia",148610,128329,382533,732435,1.15803910261905,0.522275696819513,0.451000053140107,90,278,3.35,185,8625.7,59,23,"37.6",6,68,2.2,"0.8",2065,49,3.5,15.3,4.4,1,10,7.1,3.4,4,8.8,7.8,8,3,5,4.6,9.4
"2506",2011,"Nicaragua",119251,55697,311388,174306,2.14106684381565,1.78644452858766,0.834371207861961,113,150,4.36,235,4223.4,65,20,"20.3",10,22,5.8,"1.2",2516,60,21.5,4.4,10,5,3,1,10,5,5,3,5,3,5,3,3
"2508",2011,"Nigeria",31880,183832,56470,190856,0.173419208842857,0.295877520224672,1.70614041085138,126,36,6.31,192,5230.6,64,10,"6.1",12.1,19,159.8,"9.7",2699,58,34.1,13.8,5.9,7.4,6.3,3,8.5,3,4,4,8,3.8,5,3,3
"2511",2011,"Pakistan",34954,38830,206674,140009,0.900180272984806,1.47614796191673,1.63983593755298,108,166,7.38,194,4322.5,64,26,"21.7",16,14,173.1,"37.6",2429,74,18.6,3.9,4,3,3,5,8,3,4,5,5,5,5,3,3
"2514",2011,"Panama",46979,118718,152982,169616,0.395719267507876,0.901931421564003,2.27922038581569,113,104,2.83,239,16511.1,75,40,"14.8",3.2,39,3.7,"0.5",2582,72,18.4,9.3,10,5,3,1,10,5,5,5,5,5,5,5,5
"2517",2011,"Peru",419626,419016,785192,977778,1.00145579166428,0.803037090218843,0.801869734942875,115,82,3.78,274,10378.6,72,26,"12.2",5.2,22,29.3,"3.6",2604,47,18.6,3.8,10,5,3.1,1.1,9.9,5,3.1,3.1,3.1,3.1,5.1,5,3.1
"2518",2011,"Philippines",242974,31865,305242,105217,7.62510591558136,2.90107111968598,0.380463058717368,118,87,6.83,206,5754.1,60,25,"13.0",57,18,93.5,"12.1",2583,52,25.9,5.5,10,4,5.5,5.5,10,1,4,2.5,7.7,4.5,3,6.7,2.5
"2532",2011,"Saudi Arabia",312677,191668,499608,305765,1.63134691236931,1.6339607214691,1.00160223989145,130,17,2.65,127,47474,84,34,"<5.0",6.3,49,27.3,"ns",3064,90,33.3,2.8,9.7,1.5,1.3,1.5,9.9,3.3,1.4,4.9,6.9,3.4,5,6.7,1.5
"2533",2011,"Senegal",49702,184401,232241,234227,0.269532160888498,0.991521045823069,3.67867434652166,109,86,8.19,112,2159,60,17,"13.6",4.5,31,13,"1.8",2434,74,15.4,19.7,7,3.2,7.7,5.7,5.3,4.1,6.7,6,7,4,5.1,5.7,6.7
"2543",2011,"South Africa",328993,296071,739516,854750,1.11119630088729,0.865183971921615,0.778605878394994,125,24,2.96,239,12290.9,82,34,"<5.0",6.3,21,51.4,"ns",2984,85,29.1,12.7,2.4,3.4,9.6,6.9,5.2,6.8,8.2,7.1,7.2,6,5.3,5,9
"2545",2011,"Sri Lanka",926232,127674,1546656,293794,7.25466422294281,5.26442337147797,0.725660514352861,108,230,7.07,111,8949.3,57,15,"26.0",7.9,17,20.8,"5.4",2468,46,22,4.5,10,1,1,1,10,1,5,1,10,3,1,5,1
"2556",2011,"Thailand",948072,955431,2027990,876835,0.992297716946593,2.31285247509509,2.33080499490816,112,68,4.28,390,13654.3,59,23,"9.3",6.3,38,66.4,"6.2",2750,59,17.6,10.7,9.3,1.9,2.6,2,9.5,1.6,2.5,1.8,6.9,3.5,4.1,5.9,2.2
"2562",2011,"Turkey",485864,534545,573207,509403,0.908930024600361,1.12525250145759,1.23799684354397,154,2,3.64,456,17873.7,103,31,"<5.0",23,21,72.1,"ns",3650,116,65.3,9.7,6.4,3,3.2,3.1,8.9,6.4,4.1,5.1,5.1,4.5,4.2,5,6
