"country","calories_percentseafood","protein_percentseafood","polyunsatFA_percentseafood","vitaminA_percentseafood","zinc_percentseafood","iron_percentseafood","calories_percentseafood_norm","protein_percentseafood_norm","polyunsatFA_percentseafood_norm","vitaminA_percentseafood_norm","zinc_percentseafood_norm","iron_percentseafood_norm","mean_reliance"
"Pakistan",0.00033987804867662,0.00187126466161529,0.000468416929515328,0.000135115729619655,0.000608317199225563,0.000438554221936146,0.0200250782196009,0.0170341039053874,0.0233528398003339,0.007599658522216,0.0162768002731725,0.0122067332593789,0.0160825356633483
"Sri Lanka",0.0142229148234824,0.117675817591489,0.088149854408325,0.0428969077686021,0.0206992050431436,0.0605430757692939,0.837991694256037,1,1,1,0.553850567976075,1,0.898640377038685
"Southern Asia (excluding India)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brunei Darussalam",0.0110308642709928,0.0684185833208986,0.0104399504695742,0.0299431156435232,0.0368725353650859,0.0348137033908353,0.649921113518583,0.622813694531892,0.520481808997915,1,0.986601882154662,0.969005814576185,0.791470718963206
"Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indonesia",0.0116814950283871,0.0839075464110985,0.0257188670852686,0.0410029193283804,0.0280399184149184,0.0157973140164749,0.68825525089412,0.763809573990987,1,1,0.75026672317783,0.439702980312051,0.773672421395831
"Lao People's Democratic Republic",0.000382831156845573,0.00253060435234027,0.000940934384355517,0.000706601396824406,0.000848976433970654,0.000556443275388838,0.0225558075626914,0.0230360666587802,0.0469101105359625,0.0397431841747993,0.0227161419567995,0.0154880612177429,0.0284082286844626
"Malaysia",0.0260581393221141,0.163113466903511,0.0359669669452034,0.0525104810181761,0.0755967620748806,0.0510421020769974,1,1,1,1,1,1,1
"Myanmar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Philippines",0.0170375442823712,0.111355030378918,0.048387556726268,0.0158743265920163,0.0486863830489213,0.0204092668819146,1,1,1,0.892860229590231,1,0.568072234596525,0.910155410697793
